 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5246;ENT-140; OVERHILL FARMS; 220-245 CPM;0.0;0.0;0.0
 HS5247;ENT-141; OVERHILL FARMS; 120 CPM;0.0;0.0;0.0
 HS5247;ENT-141; OVERHILL FARMS; 120 CPM;0.0;0.0;0.0
 HS5247;ENT-141; OVERHILL FARMS; 120 CPM;0.0;0.0;0.0
 HS5247;ENT-141; OVERHILL FARMS; 120 CPM;0.0;0.0;0.0
 HS5247;ENT-141; OVERHILL FARMS; 120 CPM;0.0;0.0;0.0
 HS5247;ENT-141; OVERHILL FARMS; 120 CPM;0.0;0.0;0.0
 HS5252 ;ENT-142; TABLE TALK PIES; 244 CPM;0.0;0.0;0.0
 HS5267;ENT-143; TYSON; 85 TO 100 CPM;0.0;0.0;0.0
 HS5267;ENT-143; TYSON; 85 TO 100 CPM;0.0;0.0;0.0
 HS5267;ENT-143; TYSON; 85 TO 100 CPM;0.0;0.0;0.0
 HS5267;ENT-143; TYSON; 85 TO 100 CPM;0.0;0.0;0.0
 HS5267;ENT-143; TYSON; 85 TO 100 CPM;0.0;0.0;0.0
 HS5267;ENT-143; TYSON; 85 TO 100 CPM;0.0;0.0;0.0
 HS5271;ENT-144; KRAFT HEINZ; 240CPM;0.0;0.0;0.0
 HS5281;ENT-ABOC-145; Quaity Food Processors;" 130-140 CPM final speed capability TBD";5.75;0.75;10.5
